t,accx,accy,accz,gyrox,gyroy,gyroz
390646,-0.000976562,0,1.00122,0.0375211,0.0571012,-0.0979602
390656,-0.000976562,-0.000244141,1.00146,0.0680387,-0.126004,-0.0674427
390676,-0.000732422,-0.000488281,1.00171,0.00700355,0.0876188,-0.0369251
390686,-0.000976562,-0.000976562,1.00122,0.0985563,-0.0954866,-0.0369251
390696,-0.000732422,-0.000976562,1.00049,0.129074,-0.00393391,0.0241101
390716,-0.0012207,-0.000976562,1.00049,-0.0540316,-0.217557,-0.128478
390736,-0.0012207,-0.000488281,1.00073,0.00700355,-0.126004,-0.0979602
390746,-0.0012207,-0.000488281,1.00073,0.0680387,-0.126004,-0.189513
390756,-0.000976562,-0.000488281,1.00073,0.0375211,-0.0954866,-0.0369251
390776,-0.000976562,-0.000488281,1.00024,0.0985563,-0.0954866,0.0851452
390786,-0.000732422,-0.000488281,1,0.00700355,-0.187039,-0.128478
390806,-0.0012207,-0.000732422,1.00024,0.00700355,-0.00393391,0.0241101
390816,-0.000976562,-0.000976562,0.999268,0.0985563,0.0265837,-0.0369251
390826,-0.000732422,-0.000488281,0.999023,0.0375211,0.0265837,-0.0369251
390836,-0.000732422,-0.000976562,0.999023,-0.0540316,-0.0649691,-0.0979602
390886,-0.000732422,-0.000244141,0.998779,0.0375211,-0.126004,-0.0064075
390946,-0.000976562,-0.000976562,0.999756,0.0680387,-0.0649691,-0.0064075
390976,-0.000732422,-0.000488281,0.999756,0.0680387,-0.0649691,-0.0369251
391006,-0.000488281,-0.000244141,0.999756,0.00700355,-0.187039,-0.0979602
391026,-0.000732422,-0.000488281,0.999023,0.0680387,-0.0344515,-0.0064075
391046,-0.000488281,-0.000488281,0.999268,0.159591,-0.0344515,-0.128478
391056,-0.000976562,-0.000488281,0.999268,0.190109,-0.0344515,-0.250548
391106,-0.000976562,-0.000732422,1.00049,-0.023514,-0.0954866,-0.0979602
391186,-0.00146484,-0.000244141,1,0.0680387,-0.0344515,-0.0674427
391316,-0.000244141,-0.000732422,1.00024,0.190109,-0.00393391,-0.189513
391346,-0.000244141,-0.000244141,1.00098,-0.023514,-0.0649691,-0.0979602
391376,-0.000732422,-0.000732422,1.00049,0.159591,-0.0954866,-0.128478
391406,-0.000732422,-0.0012207,0.999756,0.0375211,-0.0649691,-0.0369251
391436,-0.000976562,-0.000732422,0.999756,-0.023514,-0.248075,-0.128478
391616,-0.000976562,-0.000976562,1.00073,0.00700355,-0.126004,-0.128478
391626,-0.000732422,-0.0012207,1.00146,0.0985563,-0.126004,0.0546277
391656,-0.000732422,-0.000732422,1.00122,0.00700355,0.0265837,-0.281066
391666,-0.000488281,-0.0012207,1.00098,0.0680387,-0.278592,-0.189513
391676,-0.000488281,-0.0012207,1.00073,0.0680387,-0.0954866,0.0241101
391736,-0.000488281,-0.000488281,0.999756,0.00700355,-0.00393391,-0.0979602
391756,-0.000244141,-0.000488281,0.999756,0.00700355,-0.0954866,-0.0979602
391786,-0.000488281,-0.000732422,1.00073,-0.023514,-0.0954866,-0.0674427
391796,-0.000244141,-0.000976562,1,0.129074,-0.248075,-0.189513
391816,-0.000244141,-0.0012207,1,0.0680387,-0.0344515,0.0241101
391856,-0.000488281,-0.000976562,0.999512,0.00700355,-0.0954866,-0.0979602
391886,-0.000976562,-0.000732422,1.00049,0.129074,-0.156522,-0.0674427
391896,-0.000976562,-0.000732422,1.00024,-0.023514,-0.126004,-0.0979602
391926,-0.000976562,-0.000488281,1.00024,-0.0540316,-0.0649691,0.0546277
391936,-0.000976562,-0.000732422,1.00049,0.0375211,-0.0344515,-0.0064075
391946,-0.000976562,-0.000732422,0.999512,0.0680387,-0.0954866,-0.281066
391976,-0.000976562,-0.000732422,0.999268,-0.0540316,0.179172,-0.0674427
391986,-0.000976562,-0.000732422,0.999268,0.0680387,-0.0954866,-0.250548
391996,-0.000732422,-0.0012207,0.999268,0.0375211,-0.0954866,-0.158995
