t,accx,accy,accz,gyrox,gyroy,gyroz
46914,-0.000976562,-0.000244141,0.996338,0.0886321,-0.0152588,0.0239015
46924,-0.000976562,0,0.996582,0.027597,0.0457764,-0.0676513
46934,-0.000732422,0,0.996582,0.027597,0.0762939,-0.0676513
46944,-0.000488281,0,0.996826,0.027597,-0.0457764,0.0849366
46954,-0.000732422,0,0.996094,0.210702,-0.0457764,-0.00661612
46964,-0.000976562,-0.000244141,0.996582,-0.0334382,0.0152588,0.054419
46974,-0.000244141,-0.000488281,0.996826,0.11915,-0.106812,0.115454
46984,-0.000244141,-0.000732422,0.996582,-0.0334382,-0.0762939,0.0239015
46994,0,-0.000732422,0.996582,0.11915,-0.0457764,-0.128686
47004,-0.000244141,-0.000488281,0.996826,0.11915,0.167847,-0.00661612
47014,-0.000488281,-0.000488281,0.996826,0.0886321,-0.0152588,-0.0371337
47024,-0.000488281,-0.000488281,0.996826,0.0581145,0.0457764,-0.0371337
47034,-0.000732422,-0.000488281,0.997314,0.0581145,0.0762939,0.054419
47044,-0.000488281,0,0.997314,0.11915,-0.0152588,-0.0676513
47054,-0.000244141,0,0.997559,0.271738,0.106812,0.0849366
47064,0,0.000244141,0.997559,-0.0639558,0.0762939,0.145972
47074,-0.000244141,-0.000244141,0.996582,0.027597,0.0762939,0.176489
47084,0,-0.000488281,0.996826,0.027597,-0.0457764,0.115454
47094,0.000244141,-0.000732422,0.996338,-0.0944734,0.137329,-0.0371337
47104,0.000244141,-0.000488281,0.996826,0.149667,0.0457764,-0.00661612
47114,0,-0.000244141,0.997559,-0.0944734,0.0152588,-0.00661612
47124,0,-0.000488281,0.998047,0.0581145,0.0457764,0.145972
47134,-0.000488281,-0.000488281,0.998047,-0.00292063,-0.0457764,-0.0676513
47144,0,-0.000488281,0.998047,0.0886321,0.0152588,-0.128686
47154,0,-0.000244141,0.998047,0.0581145,0.137329,0.145972
47164,0,-0.000488281,0.997803,0.0581145,0.0457764,0.054419
47174,0,-0.000244141,0.997559,-0.0639558,-0.0152588,-0.00661612
47184,-0.000244141,-0.000488281,0.997314,-0.0334382,0.106812,0.115454
47194,-0.000244141,-0.000244141,0.997559,-0.0944734,-0.0152588,0.0849366
47204,-0.000244141,-0.000732422,0.998291,0.149667,-0.0457764,-0.00661612
47214,-0.000488281,-0.000488281,0.998291,0.027597,0.0762939,-0.00661612
47224,-0.000732422,-0.000244141,0.997314,0.149667,-0.0152588,0.237525
47234,-0.000732422,-0.000244141,0.997314,0.0886321,0.0457764,0.0849366
47244,-0.000732422,0,0.996826,0.0886321,0.0457764,0.0239015
47254,-0.000732422,0,0.996094,0.027597,-0.106812,-0.0371337
47264,0,0,0.996582,0.027597,0.0457764,0.176489
47274,-0.000244141,0.000244141,0.996338,0.027597,0.0762939,0.0239015
47284,-0.000244141,-0.000244141,0.996582,0.0581145,-0.0152588,0.0849366
47294,-0.000732422,0,0.996338,0.149667,0.0457764,0.0239015
47304,-0.000488281,0,0.996582,-0.0639558,0.106812,-0.128686
47314,-0.000732422,-0.000244141,0.99707,0.0581145,0.106812,0.145972
47324,-0.000732422,0,0.997314,-0.0639558,-0.0457764,0.115454
47334,-0.000488281,-0.000488281,0.996826,0.210702,-0.167847,-0.0371337
47344,-0.000488281,0,0.997314,-0.00292063,0.0152588,-0.0981688
47354,-0.000244141,-0.000244141,0.99707,0.0581145,-0.0152588,-0.00661612
47364,0,-0.000732422,0.997314,0.149667,0.0152588,-0.0981688
47374,-0.000244141,-0.000488281,0.996094,-0.00292063,0.0152588,0.145972
47384,-0.000732422,0,0.996338,0.027597,0.0152588,0.115454
47394,-0.000488281,0,0.99585,0.0581145,-0.0152588,-0.0676513
47404,-0.000488281,0,0.996826,0.027597,-0.0457764,-0.0371337
47414,0,0.000244141,0.996826,0.027597,0.167847,0.145972
